name1^transactiondate^transactiontypeid^transactiontypeno^transactionterms^particulars^amount
CASH ACCOUNT^2004-08-04 00:00:00.0^CashSales^CS-0076112^0^GENREC 123795^101.25
CASH ACCOUNT^2004-08-04 00:00:00.0^CashSales^CS-0076113^0^GENREC 123796^66
CASH ACCOUNT^2004-08-04 00:00:00.0^CashSales^CS-0076114^0^GENREC 123797^99
CASH ACCOUNT^2004-08-04 00:00:00.0^CashSales^CS-0076115^0^GENREC 123798^46.65
CASH ACCOUNT^2004-08-04 00:00:00.0^CashSales^CS-0076116^0^GENREC 123799^123
CASH ACCOUNT^2004-08-04 00:00:00.0^CashSales^CS-0076117^0^GENREC 123800^65.55
CASH ACCOUNT^2004-08-04 00:00:00.0^CashSales^CS-0076118^0^GENREC 123801^280.5
CASH ACCOUNT^2004-08-04 00:00:00.0^CashSales^CS-0076119^0^GENREC 123802^753.9
CASH ACCOUNT^2004-08-04 00:00:00.0^CashSales^CS-0076120^0^GENREC 123803^161.25
CASH ACCOUNT^2004-08-04 00:00:00.0^CashSales^CS-0076121^0^GENREC 123804^25.5
CASH ACCOUNT^2004-08-04 00:00:00.0^CashSales^CS-0076122^0^GENREC 123805^64.5
CASH ACCOUNT^2004-08-04 00:00:00.0^CashSales^CS-0076123^0^GENREC 123806^96.75
CASH ACCOUNT^2004-08-04 00:00:00.0^CashSales^CS-0076124^0^GENREC 123807^324
CASH ACCOUNT^2004-08-04 00:00:00.0^CashSales^CS-0076125^0^GENREC 123808^45.15
CASH ACCOUNT^2004-08-04 00:00:00.0^CashSales^CS-0076126^0^GENREC 123809^67.5
CASH ACCOUNT^2004-08-04 00:00:00.0^CashSales^CS-0076127^0^GENREC 123810^138
CASH ACCOUNT^2004-08-04 00:00:00.0^CashSales^CS-0076128^0^GENREC 123811^88.35
CASH ACCOUNT^2004-08-04 00:00:00.0^CashSales^CS-0076129^0^GENREC 123812^32.25
CASH ACCOUNT^2004-08-04 00:00:00.0^CashSales^CS-0076130^0^GENREC 123813^33
CASH ACCOUNT^2004-08-04 00:00:00.0^CashSales^CS-0076131^0^GENREC 123814^52.8
CASH ACCOUNT^2004-08-04 00:00:00.0^CashSales^CS-0076132^0^GENREC 123815^33
CASH ACCOUNT^2004-08-04 00:00:00.0^CashSales^CS-0076133^0^GENREC 123816^64.5
CASH ACCOUNT^2004-08-04 00:00:00.0^CashSales^CS-0076134^0^GENREC 123817^45.15
CASH ACCOUNT^2004-08-04 00:00:00.0^CashSales^CS-0076135^0^GENREC 123818^33
CASH ACCOUNT^2004-08-04 00:00:00.0^CashSales^CS-0076136^0^GENREC 123819^65.25
CASH ACCOUNT^2004-08-04 00:00:00.0^CashSales^CS-0076137^0^GENREC 123820^45.15
CASH ACCOUNT^2004-08-04 00:00:00.0^CashSales^CS-0076138^0^GENREC 123821^34.5
CASH ACCOUNT^2004-08-04 00:00:00.0^CashSales^CS-0076139^0^GENREC 123822^396
CASH ACCOUNT^2004-08-04 00:00:00.0^CashSales^CS-0076140^0^GENREC 123823^126
CHOP CHANG JIANG^2004-08-04 00:00:00.0^SalesInvoice^SI-0012998^0^^17,742
LIANG KEE OIL PALM ESTATE SDN. BHD.^2004-08-04 00:00:00.0^Receipt^RC-0004837^0^^-742.52
CASH ACCOUNT^2004-08-04 00:00:00.0^Receipt^RC-0004837^0^LKOPSB^742.52
CASH ACCOUNT^2004-08-05 00:00:00.0^DepositSlip^DS-0005422^0^RHB13999^-5,187
RHB BANK 2-08025-0001399-9^2004-08-05 00:00:00.0^DepositSlip^DS-0005422^0^^5,187
CASH ACCOUNT^2004-08-04 00:00:00.0^DepositSlip^DS-0005423^0^RHB13999^-50
RHB BANK 2-08025-0001399-9^2004-08-04 00:00:00.0^DepositSlip^DS-0005423^0^^50
CASH ACCOUNT^2004-08-04 00:00:00.0^PaymentVoucher^PV-0015197^0^PRINTSTA KEDAI BUKU KIM KEE^-20
CASH ACCOUNT^2004-08-03 00:00:00.0^CashSales^CS-0076093^0^GENREC 124649^129
CASH ACCOUNT^2004-08-03 00:00:00.0^CashSales^CS-0076094^0^GENREC 124650^237
CASH ACCOUNT^2004-08-03 00:00:00.0^CashSales^CS-0076095^0^GENREC 124651^159.75
CASH ACCOUNT^2004-08-04 00:00:00.0^DepositSlip^DS-0005419^0^RHB13999^-25,029.49
RHB BANK 2-08025-0001399-9^2004-08-04 00:00:00.0^DepositSlip^DS-0005419^0^^25,029.49
CASH ACCOUNT^2004-08-04 00:00:00.0^DepositSlip^DS-0005420^0^RHB13999^-18,204.08
RHB BANK 2-08025-0001399-9^2004-08-04 00:00:00.0^DepositSlip^DS-0005420^0^^18,204.08
CASH ACCOUNT^2004-08-04 00:00:00.0^DepositSlip^DS-0005421^0^RHB13999^-2,070.85
RHB BANK 2-08025-0001399-9^2004-08-04 00:00:00.0^DepositSlip^DS-0005421^0^^2,070.85
CASH ACCOUNT^2004-08-03 00:00:00.0^CashSales^CS-0076096^0^GENREC 124315^14.4
CASH ACCOUNT^2004-08-03 00:00:00.0^CashSales^CS-0076097^0^GENREC 124325^800
